datetime,eps_y0,eps_y1,growth_pct,source
2026-07-24 22:24,8.34951,8.62996,3.36,yfinance 分析師共識 (抓取 2026-07-24)
2026-07-24 22:25,8.34951,8.62996,3.36,yfinance 分析師共識 (抓取 2026-07-24)
2026-07-25 20:18,8.34951,8.62996,3.36,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:04,8.34951,8.62996,3.36,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-29 16:12,8.34951,8.62996,3.36,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,8.34951,8.62996,3.36,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,8.34951,8.62996,3.36,yfinance 分析師共識 (抓取 2026-07-30)
