datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:01,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-26 23:34,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-07-26)
2026-07-29 16:11,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-07-31)
2026-08-03 10:23,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-08-03)
2026-08-04 09:32,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-08-04)
2026-08-05 09:31,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-08-05)
2026-08-06 10:23,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-08-06)
2026-08-07 08:07,5.23,8.28,58.32,yfinance 分析師共識 (抓取 2026-08-07)
2026-08-20 15:54,8.64,18.65,115.86,yfinance 分析師共識 (抓取 2026-08-20)
2026-08-21 15:55,8.64,18.65,115.86,yfinance 分析師共識 (抓取 2026-08-21)
