datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,25.49965,27.02262,5.97,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,25.49965,27.02262,5.97,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:00,25.49965,27.02262,5.97,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-26 23:29,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-07-26)
2026-07-29 16:11,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-07-31)
2026-08-03 10:23,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-08-03)
2026-08-04 09:32,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-08-04)
2026-08-05 09:31,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-08-05)
2026-08-06 10:23,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-08-06)
2026-08-07 08:07,25.68413,27.02262,5.21,yfinance 分析師共識 (抓取 2026-08-07)
2026-08-20 15:54,23.66893,26.72895,12.93,yfinance 分析師共識 (抓取 2026-08-20)
2026-08-21 15:55,23.74078,26.6227,12.14,yfinance 分析師共識 (抓取 2026-08-21)
2026-08-24 16:05,23.74078,26.6227,12.14,yfinance 分析師共識 (抓取 2026-08-24)
2026-08-26 23:06,23.74078,26.6227,12.14,yfinance 分析師共識 (抓取 2026-08-26)
2026-08-28 02:18,23.74078,26.6227,12.14,yfinance 分析師共識 (抓取 2026-08-27)
2026-08-29 03:27,23.74078,26.6227,12.14,yfinance 分析師共識 (抓取 2026-08-28)
