datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,13.99665,17.99836,28.59,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,13.99665,17.99836,28.59,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:04,13.99665,17.99836,28.59,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-29 16:12,13.99665,17.99836,28.59,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,13.99665,17.99836,28.59,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,13.99665,17.99836,28.59,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,13.99665,17.99836,28.59,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,13.99665,17.99836,28.59,yfinance 分析師共識 (抓取 2026-07-31)
