datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:04,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-29 16:12,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-07-31)
2026-08-03 10:23,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-08-03)
2026-08-04 09:32,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-08-04)
2026-08-05 09:31,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-08-05)
2026-08-06 10:23,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-08-06)
2026-08-07 08:07,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-08-07)
2026-08-20 15:54,2.90232,2.85222,-1.73,yfinance 分析師共識 (抓取 2026-08-20)
2026-08-21 15:55,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-08-21)
2026-08-24 16:05,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-08-24)
2026-08-26 23:06,2.88116,2.83128,-1.73,yfinance 分析師共識 (抓取 2026-08-26)
2026-08-28 02:18,2.97631,2.96865,-0.26,yfinance 分析師共識 (抓取 2026-08-27)
2026-08-29 03:27,2.97631,2.96865,-0.26,yfinance 分析師共識 (抓取 2026-08-28)
2026-08-31 23:05,2.97631,2.96865,-0.26,yfinance 分析師共識 (抓取 2026-08-31)
2026-09-01 20:35,2.97631,2.96865,-0.26,yfinance 分析師共識 (抓取 2026-09-01)
