datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:04,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-29 16:11,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-07-31)
2026-08-03 10:23,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-08-03)
2026-08-04 09:32,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-08-04)
2026-08-05 09:31,10.9673,13.2762,21.05,yfinance 分析師共識 (抓取 2026-08-05)
2026-08-06 10:23,11.29797,13.73296,21.55,yfinance 分析師共識 (抓取 2026-08-06)
2026-08-07 08:07,11.29797,13.73296,21.55,yfinance 分析師共識 (抓取 2026-08-07)
