datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,5.86,7.06,20.48,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,5.86,7.06,20.48,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:01,5.86,7.06,20.48,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-26 23:34,5.86,7.06,20.48,yfinance 分析師共識 (抓取 2026-07-26)
2026-07-29 16:11,5.86,7.06,20.48,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,5.86,7.06,20.48,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,5.86,7.06,20.48,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,5.86,7.06,20.48,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,5.86,7.06,20.48,yfinance 分析師共識 (抓取 2026-07-31)
