datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,10.51,19.15828,82.29,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,10.51,19.15828,82.29,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:00,10.51,19.15828,82.29,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-26 23:30,10.51,19.15828,82.29,yfinance 分析師共識 (抓取 2026-07-26)
2026-07-29 16:11,10.51,19.15828,82.29,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,10.51,19.15828,82.29,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,10.51,19.15828,82.29,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,10.51,19.15828,82.29,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,10.51,19.15828,82.29,yfinance 分析師共識 (抓取 2026-07-31)
2026-08-03 10:23,10.51,19.15828,82.29,yfinance 分析師共識 (抓取 2026-08-03)
