datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,95.96384,129.90993,35.37,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,95.96384,129.90993,35.37,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:04,95.96384,129.90993,35.37,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-29 16:12,95.96384,129.90993,35.37,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,95.96384,129.90993,35.37,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,95.96384,129.90993,35.37,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,95.96384,129.90993,35.37,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,95.96384,129.90993,35.37,yfinance 分析師共識 (抓取 2026-07-31)
2026-08-03 10:23,96.10804,129.83421,35.09,yfinance 分析師共識 (抓取 2026-08-03)
2026-08-04 09:32,96.10804,129.83421,35.09,yfinance 分析師共識 (抓取 2026-08-04)
2026-08-05 09:31,96.10804,129.83421,35.09,yfinance 分析師共識 (抓取 2026-08-05)
2026-08-06 10:23,94.40655,129.53564,37.21,yfinance 分析師共識 (抓取 2026-08-06)
2026-08-07 08:07,94.40655,129.53564,37.21,yfinance 分析師共識 (抓取 2026-08-07)
2026-08-20 15:54,84.6,116.66273,37.9,yfinance 分析師共識 (抓取 2026-08-20)
2026-08-21 15:55,84.6,116.66273,37.9,yfinance 分析師共識 (抓取 2026-08-21)
2026-08-24 16:05,84.6,116.66273,37.9,yfinance 分析師共識 (抓取 2026-08-24)
2026-08-26 23:06,84.6,116.66273,37.9,yfinance 分析師共識 (抓取 2026-08-26)
2026-08-28 02:18,84.6,116.66273,37.9,yfinance 分析師共識 (抓取 2026-08-27)
2026-08-29 03:27,84.6,116.66273,37.9,yfinance 分析師共識 (抓取 2026-08-28)
