datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,15.22558,35.65413,134.17,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,15.22558,35.65413,134.17,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:04,15.22558,35.65413,134.17,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-29 16:11,19.81094,32.17994,62.44,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,19.81094,32.17994,62.44,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,19.81094,32.17994,62.44,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,19.84321,34.6828,74.78,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,19.84321,34.6828,74.78,yfinance 分析師共識 (抓取 2026-07-31)
2026-08-03 10:23,19.84321,34.6828,74.78,yfinance 分析師共識 (抓取 2026-08-03)
2026-08-04 09:32,19.84321,34.6828,74.78,yfinance 分析師共識 (抓取 2026-08-04)
2026-08-05 09:31,19.84321,34.6828,74.78,yfinance 分析師共識 (抓取 2026-08-05)
2026-08-06 10:23,18.82628,36.46513,93.69,yfinance 分析師共識 (抓取 2026-08-06)
2026-08-07 08:07,18.82628,36.46513,93.69,yfinance 分析師共識 (抓取 2026-08-07)
2026-08-20 15:54,19.6119,41.6037,112.13,yfinance 分析師共識 (抓取 2026-08-20)
2026-08-21 15:55,19.6119,41.6037,112.13,yfinance 分析師共識 (抓取 2026-08-21)
