datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,2.32117,2.5374,9.32,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,2.32117,2.5374,9.32,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:04,2.32117,2.5374,9.32,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-29 16:12,2.32117,2.5374,9.32,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,2.32117,2.5374,9.32,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,2.32117,2.5374,9.32,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,2.4301,2.54169,4.59,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,2.4301,2.54169,4.59,yfinance 分析師共識 (抓取 2026-07-31)
2026-08-03 10:23,2.4301,2.54169,4.59,yfinance 分析師共識 (抓取 2026-08-03)
2026-08-04 09:32,2.4301,2.54169,4.59,yfinance 分析師共識 (抓取 2026-08-04)
2026-08-05 09:31,2.4301,2.54169,4.59,yfinance 分析師共識 (抓取 2026-08-05)
2026-08-06 10:23,2.4301,2.54169,4.59,yfinance 分析師共識 (抓取 2026-08-06)
2026-08-07 08:07,2.4301,2.54169,4.59,yfinance 分析師共識 (抓取 2026-08-07)
2026-08-20 15:54,2.54278,2.69431,5.96,yfinance 分析師共識 (抓取 2026-08-20)
2026-08-21 15:55,2.54278,2.69431,5.96,yfinance 分析師共識 (抓取 2026-08-21)
2026-08-24 16:05,2.54278,2.69431,5.96,yfinance 分析師共識 (抓取 2026-08-24)
2026-08-26 23:06,2.54023,2.72193,7.15,yfinance 分析師共識 (抓取 2026-08-26)
2026-08-28 02:18,2.54023,2.72193,7.15,yfinance 分析師共識 (抓取 2026-08-27)
2026-08-29 03:27,2.54023,2.72193,7.15,yfinance 分析師共識 (抓取 2026-08-28)
2026-08-31 23:05,2.54023,2.72193,7.15,yfinance 分析師共識 (抓取 2026-08-31)
2026-09-01 20:35,2.54023,2.72193,7.15,yfinance 分析師共識 (抓取 2026-09-01)
